job_id,utility_owner,contractor,scope_type,region,status,start_date,planned_end_date,actual_duration_days,delay_days,delay_pct,markout_issues,inspections_failed,contractor_risk_factor,risk_score,risk_level,risk_reasons
PRG-2024-0006,National Grid,Tri-State Utilities Inc,Main Repair,Staten Island,In Progress,2024-09-10,2024-10-14,523,489,1438.2,0,1,159.25,215.1,HIGH,Job open 523 days; Running 489 days past planned end; Inspection failure on record (1)
PRG-2024-0075,National Grid,Consolidated Field Svcs,Planned Upgrade,Bronx,Open,2024-09-03,2024-09-09,530,524,8733.3,2,0,144.35,214.87,HIGH,Job open 530 days; Running 524 days past planned end; Markout issues logged (2)
PRG-2024-0009,Consolidated Gas,Consolidated Field Svcs,Planned Upgrade,Manhattan,Open,2024-09-06,2024-09-19,527,514,3953.8,2,1,144.35,214.02,HIGH,Job open 527 days; Running 514 days past planned end; Markout issues logged (2); Inspection failure on record (1)
PRG-2024-0014,Con Edison,Tri-State Utilities Inc,Main Repair,Nassau,Open,2024-09-21,2024-10-27,512,476,1322.2,1,0,159.25,211.3,HIGH,Job open 512 days; Running 476 days past planned end; Markout issues logged (1)
PRG-2024-0052,Consolidated Gas,Tri-State Utilities Inc,Valve Replacement,Suffolk,In Progress,2024-09-22,2024-10-10,511,493,2738.9,1,1,159.25,211.15,MEDIUM,Job open 511 days; Running 493 days past planned end; Markout issues logged (1); Inspection failure on record (1)
PRG-2024-0039,PSEG,Empire Excavation,Service Install,Manhattan,In Progress,2024-09-15,2024-10-22,518,481,1300.0,2,3,141.33,210.67,MEDIUM,Job open 518 days; Running 481 days past planned end; Markout issues logged (2); Multiple inspection failures (3)
PRG-2024-0024,Con Edison,Empire Excavation,Service Install,Bronx,Open,2024-09-19,2024-09-27,514,506,6325.0,4,4,141.33,209.97,MEDIUM,Job open 514 days; Running 506 days past planned end; High markout issue count (4); Multiple inspection failures (4)
PRG-2024-0004,Consolidated Gas,XYZ Underground LLC,Main Repair,Staten Island,In Progress,2024-09-30,2024-10-27,503,476,1763.0,5,3,142.64,206.43,MEDIUM,Job open 503 days; Running 476 days past planned end; High markout issue count (5); Multiple inspection failures (3)
PRG-2024-0046,National Grid,Metro Civil Corp,Service Install,Queens,In Progress,2024-09-09,2024-10-17,524,486,1278.9,1,1,105.01,204.85,MEDIUM,Job open 524 days; Running 486 days past planned end; Markout issues logged (1); Inspection failure on record (1)
PRG-2024-0058,Consolidated Gas,Tri-State Utilities Inc,Service Install,Nassau,Open,2024-10-16,2024-11-21,487,451,1252.8,2,1,159.25,203.0,MEDIUM,Job open 487 days; Running 451 days past planned end; Markout issues logged (2); Inspection failure on record (1)
PRG-2024-0035,Con Edison,Metro Civil Corp,Valve Replacement,Queens,Open,2024-09-17,2024-10-06,516,497,2615.8,1,1,105.01,202.05,MEDIUM,Job open 516 days; Running 497 days past planned end; Markout issues logged (1); Inspection failure on record (1)
PRG-2024-0064,PSEG,Metro Civil Corp,Service Install,Brooklyn,Open,2024-09-17,2024-10-08,516,495,2357.1,1,0,105.01,201.85,MEDIUM,Job open 516 days; Running 495 days past planned end; Markout issues logged (1)
PRG-2024-0008,Consolidated Gas,Consolidated Field Svcs,Emergency Repair,Nassau,Open,2024-10-11,2024-11-02,492,470,2136.4,2,1,144.35,201.77,MEDIUM,Job open 492 days; Running 470 days past planned end; Markout issues logged (2); Inspection failure on record (1)
PRG-2024-0043,Con Edison,Empire Excavation,Main Repair,Suffolk,In Progress,2024-10-15,2024-11-29,488,443,984.4,3,3,141.33,200.42,MEDIUM,Job open 488 days; Running 443 days past planned end; High markout issue count (3); Multiple inspection failures (3)
PRG-2024-0020,PSEG,Metro Civil Corp,Valve Replacement,Manhattan,Open,2024-09-25,2024-10-06,508,497,4518.2,2,1,105.01,199.5,MEDIUM,Job open 508 days; Running 497 days past planned end; Markout issues logged (2); Inspection failure on record (1)
PRG-2024-0017,Con Edison,Metro Civil Corp,Service Install,Bronx,In Progress,2024-09-25,2024-10-01,508,502,8366.7,2,0,105.01,199.3,MEDIUM,Job open 508 days; Running 502 days past planned end; Markout issues logged (2)
PRG-2024-0012,National Grid,Metro Civil Corp,Planned Upgrade,Suffolk,Open,2024-09-26,2024-10-08,507,495,4125.0,1,0,105.01,198.7,MEDIUM,Job open 507 days; Running 495 days past planned end; Markout issues logged (1)
PRG-2024-0080,Con Edison,Consolidated Field Svcs,Planned Upgrade,Manhattan,Open,2024-10-21,2024-11-26,482,446,1238.9,0,2,144.35,197.97,MEDIUM,Job open 482 days; Running 446 days past planned end; Multiple inspection failures (2)
PRG-2024-0021,PSEG,Consolidated Field Svcs,Service Install,Manhattan,Open,2024-10-22,2024-12-01,481,441,1102.5,0,0,144.35,197.22,MEDIUM,Job open 481 days; Running 441 days past planned end
PRG-2024-0050,PSEG,Empire Excavation,Planned Upgrade,Staten Island,In Progress,2024-11-02,2024-11-08,470,464,7733.3,5,1,141.33,194.22,MEDIUM,Job open 470 days; Running 464 days past planned end; High markout issue count (5); Inspection failure on record (1)
PRG-2024-0071,Con Edison,Empire Excavation,Service Install,Queens,Open,2024-11-19,2024-11-28,453,444,4933.3,3,4,141.33,188.37,MEDIUM,Job open 453 days; Running 444 days past planned end; High markout issue count (3); Multiple inspection failures (4)
PRG-2024-0070,National Grid,XYZ Underground LLC,Main Repair,Brooklyn,Open,2024-11-23,2025-01-06,449,405,920.5,6,1,142.64,187.38,MEDIUM,Job open 449 days; Running 405 days past planned end; High markout issue count (6); Inspection failure on record (1)
PRG-2024-0041,PSEG,Empire Excavation,Main Repair,Queens,In Progress,2024-12-03,2024-12-28,439,414,1656.0,5,1,141.33,183.37,MEDIUM,Job open 439 days; Running 414 days past planned end; High markout issue count (5); Inspection failure on record (1)
PRG-2024-0001,Con Edison,Tri-State Utilities Inc,Planned Upgrade,Bronx,Open,2024-12-11,2024-12-23,431,419,3491.7,0,0,159.25,182.7,LOW,Job open 431 days; Running 419 days past planned end
PRG-2024-0045,Consolidated Gas,Consolidated Field Svcs,Emergency Repair,Queens,In Progress,2024-12-04,2025-01-10,438,401,1083.8,1,0,144.35,182.42,LOW,Job open 438 days; Running 401 days past planned end; Markout issues logged (1)
PRG-2024-0054,PSEG,Empire Excavation,Emergency Repair,Nassau,Open,2024-12-07,2024-12-21,435,421,3007.1,5,0,141.33,181.77,LOW,Job open 435 days; Running 421 days past planned end; High markout issue count (5)
PRG-2024-0005,Con Edison,XYZ Underground LLC,Service Install,Suffolk,In Progress,2024-12-06,2025-01-03,436,408,1457.1,0,1,142.64,181.33,LOW,Job open 436 days; Running 408 days past planned end; Inspection failure on record (1)
PRG-2024-0047,PSEG,Metro Civil Corp,Main Repair,Manhattan,Open,2024-11-16,2024-11-26,456,446,4460.0,1,2,105.01,181.25,LOW,Job open 456 days; Running 446 days past planned end; Markout issues logged (1); Multiple inspection failures (2)
PRG-2024-0027,National Grid,Metro Civil Corp,Valve Replacement,Brooklyn,In Progress,2024-11-15,2024-12-03,457,439,2438.9,1,0,105.01,181.2,LOW,Job open 457 days; Running 439 days past planned end; Markout issues logged (1)
PRG-2024-0048,Con Edison,Metro Civil Corp,Planned Upgrade,Manhattan,In Progress,2024-11-16,2024-12-20,456,422,1241.2,1,1,105.01,181.05,LOW,Job open 456 days; Running 422 days past planned end; Markout issues logged (1); Inspection failure on record (1)
PRG-2024-0063,National Grid,Consolidated Field Svcs,Valve Replacement,Nassau,In Progress,2024-12-17,2025-01-28,425,383,911.9,2,1,144.35,178.32,LOW,Job open 425 days; Running 383 days past planned end; Markout issues logged (2); Inspection failure on record (1)
PRG-2024-0028,National Grid,Consolidated Field Svcs,Main Repair,Brooklyn,In Progress,2024-12-28,2025-01-21,414,390,1625.0,0,2,144.35,174.17,LOW,Job open 414 days; Running 390 days past planned end; Multiple inspection failures (2)
PRG-2024-0031,National Grid,XYZ Underground LLC,Planned Upgrade,Staten Island,In Progress,2024-12-28,2025-01-29,414,382,1193.8,0,1,142.64,173.63,LOW,Job open 414 days; Running 382 days past planned end; Inspection failure on record (1)
PRG-2024-0040,National Grid,Tri-State Utilities Inc,Valve Replacement,Brooklyn,In Progress,2025-01-08,2025-01-24,403,387,2418.8,1,2,159.25,173.55,LOW,Job open 403 days; Running 387 days past planned end; Markout issues logged (1); Multiple inspection failures (2)
PRG-2024-0007,National Grid,Empire Excavation,Main Repair,Brooklyn,Open,2025-01-03,2025-01-23,408,388,1940.0,2,4,141.33,172.37,LOW,Job open 408 days; Running 388 days past planned end; Markout issues logged (2); Multiple inspection failures (4)
PRG-2024-0037,PSEG,Consolidated Field Svcs,Valve Replacement,Bronx,In Progress,2025-01-03,2025-01-28,408,383,1532.0,0,1,144.35,171.87,LOW,Job open 408 days; Running 383 days past planned end; Inspection failure on record (1)
PRG-2024-0060,National Grid,Empire Excavation,Service Install,Manhattan,In Progress,2025-01-09,2025-02-12,402,368,1082.4,2,0,141.33,169.47,LOW,Job open 402 days; Running 368 days past planned end; Markout issues logged (2)
PRG-2024-0069,Consolidated Gas,Consolidated Field Svcs,Valve Replacement,Suffolk,In Progress,2025-01-12,2025-02-12,399,368,1187.1,0,2,144.35,168.92,LOW,Job open 399 days; Running 368 days past planned end; Multiple inspection failures (2)
PRG-2024-0056,PSEG,Metro Civil Corp,Main Repair,Nassau,In Progress,2024-12-21,2025-01-19,421,392,1351.7,0,2,105.01,168.75,LOW,Job open 421 days; Running 392 days past planned end; Multiple inspection failures (2)
PRG-2024-0061,PSEG,Consolidated Field Svcs,Main Repair,Brooklyn,In Progress,2025-01-21,2025-02-11,390,369,1757.1,2,1,144.35,166.07,LOW,Job open 390 days; Running 369 days past planned end; Markout issues logged (2); Inspection failure on record (1)
PRG-2024-0034,PSEG,XYZ Underground LLC,Service Install,Suffolk,Open,2025-01-22,2025-02-11,389,369,1845.0,3,0,142.64,165.43,LOW,Job open 389 days; Running 369 days past planned end; High markout issue count (3)
PRG-2024-0068,National Grid,XYZ Underground LLC,Main Repair,Brooklyn,In Progress,2025-01-27,2025-02-05,384,375,4166.7,4,0,142.64,163.93,LOW,Job open 384 days; Running 375 days past planned end; High markout issue count (4)
